1;15
2;5
3;3
4;8
5;8
6;11
7;8
8;9
9;1
10;7
11;3
12;20
13;11
14;18
15;10
16;6
17;17
18;14
19;25
20;13
21;9
22;20
23;6
24;2
25;22
26;5
27;6
28;16
29;14
30;14
31;4
32;14
33;9
34;22
35;25
36;9
37;8
38;13
39;17
40;24
41;5
42;10
43;1
44;5
45;2
46;17
47;19
48;24
49;9
50;16
51;24
52;2
53;24
54;16
55;3
56;10
57;9
58;24
59;8
60;17
61;15
62;16
63;6
64;6
65;8
66;17
67;5
68;9
69;13
70;3
71;3
72;15
73;5
74;14
75;9
76;17
77;13
78;22
79;1
80;13
81;23
82;8
83;3
84;25
85;5
86;17
87;6
88;21
89;25
90;21
91;6
92;12
93;13
94;8
95;25
96;16
97;5
98;7
99;20
100;24
101;18
102;24
103;3
104;3
105;3
106;19
107;2
108;18
109;21
110;22
111;3
112;18
113;1
114;25
115;16
116;22
117;9
118;16
119;24
120;15
121;3
122;2
123;6
124;9
125;11
126;10
127;17
128;20
129;17
130;24
131;20
132;14
133;20
134;10
135;6
136;13
137;15
138;24
139;21
140;12
141;6
142;16
143;19
144;19
145;9
146;9
147;8
148;18
149;20
150;4
151;19
152;21
153;20
154;10
155;16
156;7
157;4
158;3
159;20
160;3
161;6
162;19
163;9
164;21
165;3
166;16
167;20
168;23
169;17
170;11
171;23
172;18
173;14
174;5
175;21
176;8
177;8
178;5
179;13
180;14
181;4
182;14
183;19
184;3
185;11
186;14
187;15
188;25
189;15
190;12
191;1
192;14
193;10
194;25
195;7
196;7
197;8
198;23
199;1
200;15
201;23
202;3
203;4
204;15
205;10
206;20
207;23
208;8
209;6
210;11
211;15
212;20
213;1
214;21
215;5
216;4
217;12
218;18
219;18
220;25
221;9
222;1
223;21
224;10
225;19
226;24
227;21
228;10
229;21
230;4
231;19
232;1
233;17
234;6
235;12
236;21
237;18
238;18
239;19
240;22
241;13
242;23
243;6
244;4
245;20
246;10
247;16
248;11
249;1
250;17
251;19
252;3
253;9
254;16
255;23
256;4
257;7
258;16
259;24
260;8
261;4
262;21
263;14
264;18
265;6
266;15
267;17
268;14
269;2
270;21
271;12
272;2
273;9
274;24
275;24
276;11
277;18
278;4
279;13
280;16
281;23
;
