1;3
2;1
6;8
8;7
9;8
10;11
13;14
18;6
22;16
23;12
25;10
26;14
29;5
33;14
34;12
35;2
37;15
38;13
41;13
46;3
48;14
52;7
54;7
56;14
59;13
60;15
63;10
64;8
65;3
67;14
70;6
71;12
72;12
77;4
82;3
83;4
84;5
86;15
87;1
99;15
104;5
105;7
107;7
111;8
112;14
113;11
115;3
117;8
118;13
121;15
133;13
142;17
147;14
149;12
151;2
153;17
156;11
160;1
162;9
163;5
164;3
166;12
175;11
180;9
182;11
186;11
187;8
189;17
191;12
195;13
196;15
201;14
205;9
206;8
207;8
209;13
217;10
223;7
224;1
228;16
229;14
230;8
231;4
232;6
233;16
238;6
240;10
242;4
244;17
245;9
250;8
253;13
254;5
255;6
256;14
258;13
264;17
265;10
266;11
270;10
273;11
274;17
