1;1;1;1;142
2;12;1;5;21
3;16;1;3;145
4;5;1;5;9
5;9;1;5;16
6;17;1;15;104
7;9;1;7;121
8;19;1;8;8
9;20;1;15;21
10;20;1;9;63
11;3;1;1;42
12;10;1;15;46
13;15;1;11;159
14;16;1;11;48
15;20;1;6;113
16;18;1;8;274
17;4;1;8;148
18;3;1;15;25
19;14;1;1;206
20;2;1;13;141
21;1;1;7;229
22;2;1;13;75
23;18;1;2;245
24;8;1;3;165
25;9;1;1;34
26;9;1;6;238
27;6;1;4;169
28;16;1;11;166
29;9;1;10;140
30;2;1;6;202
31;5;1;9;79
32;1;1;10;102
33;19;1;2;96
34;4;1;11;79
35;10;1;7;52
36;13;1;4;253
37;19;1;8;141
38;7;1;15;189
39;12;1;10;48
40;16;1;11;74
41;1;1;15;248
42;14;1;7;214
43;6;1;6;80
44;19;1;2;62
45;10;1;12;197
46;7;1;13;129
47;1;1;5;276
48;17;1;8;195
49;9;1;13;253
50;3;1;12;265
